State,Year,Inflation Adjusted Total Spending,Num Students,Num Teachers,Population,Personal Income,NAEP Scores,Effort,Alternative Effort,Alternative Effort Ranked,Effort Ranked,Inflation Adjusted Exp Per Student
Alabama,1970,2717314866,805205,33026,3251667,69693249632,,4.7,4.43,32.0,33.0,3374.687025043312
Alaska,1970,687608111,79845,3821,301644,11796633148,,6.69,6.63,1.0,1.0,8611.786724278289
Arizona,1970,1880716362,439524,18772,1698849,47318334886,,4.78,4.52,28.0,28.0,4278.984451361018
Arkansas,1970,1484037928,463320,21122,1779696,36894806230,,4.96,4.57,26.0,24.0,3203.0517309850643
California,1970,24876446691,4633198,193000,18870340,651913160648,,4.61,4.34,39.0,39.0,5369.174097675083
Colorado,1970,2568080305,550060,24450,2102390,62558220989,,4.94,4.67,24.0,25.0,4668.7276024433695
Connecticut,1970,3934518374,662205,31323,2847157,102778248270,,4.65,4.35,37.0,38.0,5941.54132632644
Delaware,1970,762901321,132745,6034,522925,17048397177,,5.36,5.09,17.0,19.0,5747.119070398132
District of Columbia,1970,928929907,145704,7486,710432,27372910180,,4.1,3.86,51.0,50.0,6375.459198100258
Florida,1970,6584150939,1427896,62419,6228785,185416319190,,4.44,4.04,48.0,46.0,4611.085778656148
Georgia,1970,4282267834,1098901,44007,4382714,106952643302,,4.78,4.55,27.0,29.0,3896.864079657767
Hawaii,1970,1019224588,180641,7985,749579,27704055246,,4.26,4.18,44.0,48.0,5642.266085772333
Idaho,1970,671415575,182333,8047,673076,17361837458,,4.69,4.4,35.0,36.0,3682.359062813643
Illinois,1970,13089661773,2356636,111827,10417114,337861737251,,4.7,4.41,33.0,34.0,5554.384204009444
Indiana,1970,5444557264,1231458,50421,4880368,131334756161,,5.03,4.71,23.0,22.0,4421.228546974399
Iowa,1970,3359400451,660104,32659,2589041,72753554630,,5.74,5.25,13.0,11.0,5089.198748985008
Kansas,1970,2283915880,513394,25884,2067068,58312351082,,4.84,4.45,31.0,27.0,4448.661028371972
Kentucky,1970,2640431583,717205,30180,3015909,69080139460,,4.66,4.35,38.0,37.0,3681.5576899212915
Louisiana,1970,3649526159,842365,36469,3468997,76478116958,,5.71,5.43,10.0,12.0,4332.476015741395
Maine,1970,1020963544,244670,11170,921349,23325071579,,5.38,4.98,19.0,18.0,4172.818670045367
Maryland,1970,4948746442,916244,40810,3754304,125685618053,,4.7,4.48,30.0,35.0,5401.12289084567
Massachusetts,1970,6551563384,1167713,55300,5272198,170237416238,,4.73,4.38,36.0,32.0,5610.5938565383785
Michigan,1970,12015731543,2152256,93000,8412868,244992923119,,5.9,5.58,5.0,8.0,5582.854243640162
Minnesota,1970,5270822484,920839,43809,3537550,103007754751,,6.28,5.82,3.0,2.0,5723.934894156308
Mississippi,1970,1786187443,534395,22533,2087287,39848882513,,5.42,5.1,16.0,17.0,3342.4478952834515
Missouri,1970,4161469964,1039477,48286,4315472,121176143558,,4.24,3.91,49.0,49.0,4003.426688613601
Montana,1970,821418373,176712,8406,651051,17076593688,,5.86,5.47,9.0,9.0,4648.345177463896
Nebraska,1970,1631896809,329110,17230,1362500,38022010921,,5.33,4.88,20.0,20.0,4958.514809638115
Nevada,1970,573914947,127550,4967,476820,16789382720,,4.02,3.89,50.0,51.0,4499.529180713445
New Hampshire,1970,694540113,158756,7441,690176,19447067775,,4.37,4.06,47.0,47.0,4374.8904797299
New Jersey,1970,9399520278,1482000,72140,6744048,231437614590,,4.92,4.62,25.0,26.0,6342.456327935222
New Mexico,1970,1147424931,281372,11620,979994,22949336683,,5.94,5.69,4.0,6.0,4077.9641577697853
New York,1970,28678869937,3489245,177066,17010596,589473627296,,5.94,5.53,8.0,7.0,8219.219325957334
North Carolina,1970,4503061615,1192187,49565,4850325,113575544624,,4.74,4.51,29.0,30.0,3777.1436989331373
North Dakota,1970,625106945,147013,7659,575110,13786126476,,5.55,5.16,14.0,13.0,4252.052165454756
Ohio,1970,10641646833,2425643,104680,10014647,289452918712,,4.45,4.18,45.0,45.0,4387.144700601037
Oklahoma,1970,2273815644,626956,28184,2375045,61151018392,,4.57,4.23,43.0,40.0,3626.7547387695467
Oregon,1970,2643147213,479527,21641,1952393,55980565230,,5.78,5.37,11.0,10.0,5511.988298886194
Pennsylvania,1970,12430532039,2363817,108772,10991180,320284163701,,4.74,4.41,34.0,31.0,5258.669363575945
Rhode Island,1970,977995853,188090,8988,883923,26839143677,,4.46,4.14,46.0,43.0,5199.616422988995
South Carolina,1970,2304128263,637800,28578,2488377,54953031926,,4.98,4.77,22.0,23.0,3612.6187880213233
